smiles,isactive
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,0
CC(C)=CCc1cc(C=O)c(CC=C(C)C)c(O)c1O,1
CC1CCC2(NC1)OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,1
Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1,0
CN(C(=O)C=Cc1ccoc1)C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5.Cl,0
CC1(C)CCC2(C(=O)O)C(O)CC3(C)C(=CCC4C5(C)CCC(OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,0
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC,0
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1.CS(=O)(=O)O,0
c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,1
C=C1C=CC(C(C)C)CCC(=C)C(O)CC1,1
CCc1ccc(C(=O)C(C)CN2CCCCC2)cc1,0
C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(=O)C(C)(C)C5CCC43C)C12,1
CC(C)=CCc1c(C(OC(=O)CC(C)(O)CC(=O)O)C(=O)O)cc(CC=C(C)CO)c(OC2OC(CO)C(O)C(O)C2O)c1O,1
COc1ccc2cc1Oc1ccc(cc1)CC1c3cc(c(OC)cc3CCN1C)Oc1c(O)c(OC)cc3c1C(C2)N(C)CC3,1
CC(C)=CCCC(C)=CCNCCNC1C2CC3CC(C2)CC1C3,0
CCCCCC=CCC=CCCCCCCCC(=O)O,1
C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12,0
Oc1cc(O)cc(O)c1,0
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(OC(=O)CC(C)C)C(O)C(C)O2)C(N(C)C)C1O,0
Cl.Nc1ccc(N=Nc2ccccc2)c(N)n1,0
CCNC(=O)C1CCCN1C(=O)C(CCCNC(=N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1,1
CCOC(=O)OC1(C(=O)COC(=O)CC)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1
CC(=C(CCOP(=O)(O)O)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N,0
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,0
CN(C)CCOC(c1ccccc1)c1ccccc1,0
CCc1cccc2c1N(C)Cc1cc3c(cc1-2)OCO3,1
CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(N=C(N)N)cc2)cc1,0
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,0
CC1(C)CCC2(CO)C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,1
CCCC=C1OC(=O)C2=C1CCC1C3C=C4C(=O)OC(=CCCC)C4(CC3)C21,0
Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O,1
CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,0
O=C1OC2(c3cc(Br)c([O-])cc3Oc3c2cc(Br)c([O-])c3[Hg])c2ccccc21,0
CC1OC(Oc2cc(O)c3c(=O)c(O)c(-c4ccc(O)c(O)c4)oc3c2)C(O)C(O)C1O,1
CCC(C)C1NC(=O)C(N(C)C)Cc2cc(ccc2OC)C=CNC(=O)C(Cc2ccccc2)NC1=O,1
CC(C)=CCc1c(C=O)cc(CC=C(C)CO)c(O)c1O,1
CC(C)(O)C1CCC2(C)CCCC3(CO)OC23C1O,1
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1,0
CCCCCCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,0
C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5.Cl,0
COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,1
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,0
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,0
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1
CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,0
CC12CCC(O)C(C)(C(=O)O)C1CCc1c2cc2c([nH]c3ccccc32)c1Cl,0
CCCN1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,0
C=C1CCC(O)C2(C)CC3C(C(C)C)C3C12,1
C[N+]1=C(c2ccc(F)c(F)c2)c2cccn2CC1,0
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C,0
CC(=O)CCC1C2CCC(=O)C(C(C)C)C12,1
CC(C)=CC(C)=NNc1nncc2ccccc12,0
CCC1(c2cccc(O)c2)CCCCN(C)C1,0
CC(=O)OC1C=C(C)C2(O)CC=C(C)C2C2OC(=O)C(C)C12,1
Nc1ccc(C(=O)O)cc1,0
N#CC(=C1SCC(c2ccc(Cl)cc2Cl)S1)n1ccnc1,1
